,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-15 to 7-Nov-23,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
18-Dec-20,To,Deep Shweta,,,Receipt,301,400.00,
18-Dec-20,By,Keyboard Mouse,,,Payment,566,,200.00
18-Dec-20,By,Party With Friends,,,Payment,567,,480.00
18-Dec-20,To,Rojmel,,,Receipt,303,4000.00,
20-Dec-20,To,Office Expense,,,Receipt,304,470.00,
20-Dec-20,By,Guest Expense,,,Payment,570,,200.00
20-Dec-20,By,Home Cash Paid,,,Payment,571,,1200.00
20-Dec-20,By,Food,,,Payment,572,,50.00
21-Dec-20,By,Food,,,Payment,577,,50.00
23-Dec-20,To,DBS Bank,,,Contra,14,10000.00,
23-Dec-20,To,IDBI Bank,,,Contra,15,10000.00,
23-Dec-20,To,IDBI Bank,,,Contra,16,10000.00,
23-Dec-20,To,Mahesana,,,Contra,17,10000.00,
23-Dec-20,By,Piyush Vaghasiya (Loan),,,Payment,582,,100000.00
23-Dec-20,To,Misc.Income,,,Receipt,311,3800.00,
23-Dec-20,By,(as per details),,,Payment,583,,100.00
,,Home Cash Paid,,,,,50.00 Dr,
,,Home Cash Paid,,,,,50.00 Dr,
23-Dec-20,By,Food,,,Payment,584,,100.00
23-Dec-20,By,Party With Friends,,,Payment,585,,60.00
23-Dec-20,By,Misc. Expenses,,,Payment,586,,29.00
24-Dec-20,To,IDBI Bank,,,Contra,18,15000.00,
24-Dec-20,To,IDBI Bank,,,Contra,20,20000.00,
24-Dec-20,To,Upad,,,Receipt,315,5000.00,
24-Dec-20,To,Cash Reserve II,,,Journal,207,10000.00,
24-Dec-20,By,Bhavesh Sabhadiya (Loan)-1,,,Payment,588,,50000.00
24-Dec-20,To,Misc.Income,,,Receipt,316,3800.00,
24-Dec-20,By,Party With Friends,,,Payment,589,,10.00
25-Dec-20,By,Home Cash Paid,,,Payment,590,,500.00
25-Dec-20,By,Food,,,Payment,591,,82.00
25-Dec-20,By,Ankit Sorathiya,,,Payment,592,,2500.00
25-Dec-20,To,Misc.Income,,,Receipt,317,150.00,
25-Dec-20,To,Bhavesh Sabhadiya,,,Receipt,318,15212.00,
25-Dec-20,To,Bhavesh Sabhadiya,,,Receipt,319,10000.00,
26-Dec-20,To,Upad,,,Receipt,320,200.00,
26-Dec-20,By,Home Cash Paid,,,Payment,594,,700.00
26-Dec-20,By,Home Cash Paid,,,Payment,595,,500.00
01-Jan-21,To,Upad,,,Receipt,328,6000.00,
01-Jan-21,By,Home Cash Paid,,,Payment,609,,700.00
01-Jan-21,By,Party With Friends,,,Payment,610,,130.00
03-Jan-21,By,Mandal Date Advocate Group 02,,,Payment,612,,1000.00
03-Jan-21,To,(as per details),,,Receipt,329,18150.00,
,,Mandal Date Advocate Group 02,,,,,,16000.00 Cr
,,Misc.Income,,,,,,2150.00 Cr
03-Jan-21,By,Home Cash Paid,,,Payment,613,,1100.00
03-Jan-21,By,Party With Friends,,,Payment,614,,340.00
03-Jan-21,By,Cash Reserve II,,,Payment,615,,25000.00
03-Jan-21,To,Upad,,,Receipt,330,100.00,
05-Jan-21,To,Office Income,,,Receipt,331,5400.00,
05-Jan-21,By,Home Cash Paid,,,Payment,619,,500.00
06-Jan-21,To,Maruti Nandan,,,Receipt,332,1792.00,
06-Jan-21,By,Cash Reserve II,,,Payment,621,,11000.00
06-Jan-21,By,Food,,,Payment,622,,100.00
07-Jan-21,To,Shaileshbhai Paladiya,,,Receipt,334,591.00,
07-Jan-21,By,Home Rent,,,Journal,216,,8000.00
08-Jan-21,To,Office Expense,,,Receipt,335,100.00,
08-Jan-21,By,Food,,,Payment,627,,50.00
09-Jan-21,To,Rahil,,,Receipt,337,134.00,
09-Jan-21,By,Food,,,Payment,629,,50.00
10-Jan-21,To,Nikhil Sabhadiya,,,Receipt,338,4000.00,
10-Jan-21,To,Piyush Vaghasiya,,,Receipt,339,1702.00,
10-Jan-21,To,Rameshmama,,,Receipt,340,600.00,
10-Jan-21,By,Food,,,Payment,632,,50.00
12-Jan-21,By,Mandal Date CA Group 15,,,Payment,633,,2000.00
13-Jan-21,By,Petrol Expenses,,,Payment,634,,200.00
13-Jan-21,By,Party With Friends,,,Payment,635,,50.00
13-Jan-21,By,Food,,,Payment,636,,40.00
13-Jan-21,By,Chirag,,,Payment,637,,2500.00
13-Jan-21,By,Food,,,Payment,638,,40.00
14-Jan-21,By,(as per details),,,Journal,229,,4000.00
,,Loans From Friends,,,,,,60000.00 Cr
,,Cash Reserve II,,,,,64000.00 Dr,
14-Jan-21,By,(as per details),,,Payment,640,,2360.00
,,Home Cash Paid,,,,,2110.00 Dr,
,,Home Cash Paid,,,,,250.00 Dr,
14-Jan-21,By,Holiday Expenses,,,Payment,641,,870.00
14-Jan-21,By,Home Perquisites,,,Payment,642,,210.00
15-Jan-21,To,Misc.Income,,,Receipt,353,3800.00,
16-Jan-21,To,DBS Bank,,,Contra,23,15000.00,
16-Jan-21,By,(as per details),,,Payment,643,,15300.00
,,Nikhil Sabhadiya,,,,,15000.00 Dr,
,,Nikhil Sabhadiya,,,,,300.00 Dr,
16-Jan-21,By,Food,,,Payment,646,,200.00
16-Jan-21,By,Party With Friends,,,Payment,647,,150.00
17-Jan-21,By,Office Income,,,Payment,649,,2000.00
18-Jan-21,To,Brahmani Fashion,,,Receipt,360,6700.00,
18-Jan-21,To,Upad,,,Receipt,361,7200.00,
18-Jan-21,By,Home Cash Paid,,,Payment,652,,1000.00
18-Jan-21,By,Food,,,Payment,653,,30.00
19-Jan-21,To,Rahil,,,Receipt,362,1500.00,
20-Jan-21,By,Home Cash Paid,,,Payment,660,,200.00
20-Jan-21,By,Food,,,Payment,661,,120.00
20-Jan-21,By,Party With Friends,,,Payment,662,,450.00
20-Jan-21,By,Office Income,,,Payment,665,,7000.00
20-Jan-21,By,Deep Shweta,,,Payment,666,,1350.00
21-Jan-21,To,Upad,,,Receipt,368,6000.00,
21-Jan-21,To,Ankit Sorathiya,,,Receipt,369,7600.00,
21-Jan-21,To,Piyush Vaghasiya,,,Receipt,372,599.00,
22-Jan-21,By,Home Medicines,,,Payment,670,,820.00
22-Jan-21,To,Deep Shweta,,,Receipt,373,800.00,
22-Jan-21,By,Alpesh Vithani,,,Payment,671,,1501.00
23-Jan-21,By,Holiday Expenses,,,Payment,674,,1070.00
23-Jan-21,By,Home Perquisites,,,Payment,675,,180.00
23-Jan-21,By,Food,,,Payment,676,,100.00
23-Jan-21,By,Misc. Expenses,,,Payment,677,,114.00
26-Jan-21,By,Home Cash Paid,,,Payment,683,,1500.00
26-Jan-21,By,Ankit Sorathiya,,,Payment,684,,7600.00
27-Jan-21,By,Divyam School Exp.,,,Payment,686,,3750.00
27-Jan-21,By,Home Perquisites,,,Payment,687,,150.00
27-Jan-21,By,Holiday Expenses,,,Payment,689,,250.00
28-Jan-21,To,Piyush Shantilal,,,Receipt,379,3200.00,
28-Jan-21,To,Rohit Vekariya,,,Receipt,380,2000.00,
28-Jan-21,To,Upad,,,Receipt,381,4000.00,
28-Jan-21,By,Home Cash Paid,,,Payment,693,,500.00
28-Jan-21,By,Food,,,Payment,694,,30.00
30-Jan-21,To,Office Income,,,Receipt,384,6500.00,
30-Jan-21,To,Rojmel,,,Receipt,385,1000.00,
01-Feb-21,To,Misc.Income,,,Receipt,389,300.00,
01-Feb-21,By,Home Perquisites,,,Payment,701,,3625.00
01-Feb-21,By,Home Cash Paid,,,Payment,702,,2000.00
01-Feb-21,By,(as per details),,,Payment,703,,670.00
,,Party With Friends,,,,,520.00 Dr,
,,Party With Friends,,,,,150.00 Dr,
05-Feb-21,By,Chirag,,,Payment,706,,2600.00
07-Feb-21,To,Deep Shweta,,,Receipt,396,770.00,
07-Feb-21,To,Rahil,,,Receipt,397,1500.00,
07-Feb-21,By,Home Cash Paid,,,Payment,710,,200.00
07-Feb-21,By,Bike Service,,,Payment,711,,150.00
07-Feb-21,By,Holiday Expenses,,,Payment,712,,600.00
07-Feb-21,By,Food,,,Payment,713,,80.00
07-Feb-21,To,Brahmani Fashion,,,Receipt,399,1550.00,
07-Feb-21,To,Upad,,,Receipt,400,4000.00,
10-Feb-21,By,Bhaveshbhai 45,,,Payment,716,,225.00
10-Feb-21,By,Mandal Date CA Group 15,,,Payment,718,,2000.00
11-Feb-21,By,Piyush Vaghasiya,,,Payment,720,,5000.00
11-Feb-21,By,Piyush Vaghasiya,,,Payment,721,,500.00
11-Feb-21,By,(as per details),,,Payment,722,,5900.00
,,Home Cash Paid,,,,,1300.00 Dr,
,,Home Cash Paid,,,,,700.00 Dr,
,,Home Cash Paid,,,,,3900.00 Dr,
12-Feb-21,To,Rojmel,,,Receipt,410,3000.00,
12-Feb-21,By,Misc. Expenses,,,Payment,723,,25.00
16-Feb-21,To,Office Expense,,,Receipt,420,310.00,
17-Feb-21,To,Upad,,,Receipt,425,12000.00,
18-Feb-21,To,Office Income,,,Receipt,426,2500.00,
18-Feb-21,By,Divyam Toys,,,Payment,730,,420.00
18-Feb-21,By,Home Cash Paid,,,Payment,731,,500.00
18-Feb-21,By,Computer I5 3rd,,,Payment,732,,5000.00
18-Feb-21,To,Office Income,,,Receipt,427,1600.00,
18-Feb-21,To,Upad,,,Receipt,428,1100.00,
18-Feb-21,To,Office Income,,,Receipt,429,2000.00,
18-Feb-21,To,Office Income,,,Receipt,430,200.00,
20-Feb-21,To,Office Income,,,Receipt,434,2000.00,
21-Feb-21,To,Piyush Shantilal,,,Receipt,435,2500.00,
21-Feb-21,By,Home Medicines,,,Payment,739,,310.00
23-Feb-21,To,Chirag,,,Receipt,439,424.00,
23-Feb-21,To,Chirag,,,Receipt,440,1600.00,
24-Feb-21,To,Office Expense,,,Receipt,442,3400.00,
25-Feb-21,To,Shaileshbhai Paladiya,,,Receipt,445,400.00,
26-Feb-21,To,Chanchad,,,Receipt,446,15000.00,
26-Feb-21,By,Alpesh Vithani,,,Payment,746,,15000.00
26-Feb-21,By,(as per details),,,Payment,747,,600.00
,,Home Cash Paid,,,,,500.00 Dr,
,,Home Cash Paid,,,,,100.00 Dr,
26-Feb-21,By,Home Medicines,,,Payment,748,,270.00
26-Feb-21,To,Pritesh Kathiriya,,,Receipt,448,399.00,
27-Feb-21,To,Piyush Vaghasiya,,,Receipt,450,285.00,
28-Feb-21,By,DBS Bank,,,Contra,25,,25000.00
28-Feb-21,By,Cash Reserve I,,,Payment,751,,5000.00
28-Feb-21,By,Home Cash Paid,,,Payment,752,,100.00
28-Feb-21,By,Challpal,,,Payment,753,,250.00
01-Mar-21,By,Home Cash Paid,,,Payment,755,,500.00
03-Mar-21,By,Holiday Expenses,,,Payment,756,,3150.00
05-Mar-21,To,Darshan Ghanshaymbhai Makwana,,,Receipt,453,25500.00,
05-Mar-21,To,Ankit Sorathiya,,,Receipt,454,7600.00,
07-Mar-21,To,Upad,,,Receipt,459,300.00,
08-Mar-21,By,Home Cash Paid,,,Payment,762,,3000.00
08-Mar-21,By,Home Cash Paid,,,Payment,763,,300.00
08-Mar-21,By,Ankit Sorathiya,,,Payment,764,,6000.00
09-Mar-21,By,Home Rent,,,Payment,765,,8000.00
10-Mar-21,By,Party With Friends,,,Payment,769,,340.00
11-Mar-21,To,Upad,,,Receipt,462,12000.00,
12-Mar-21,By,Party With Friends,,,Payment,772,,450.00
12-Mar-21,To,(as per details),,,Receipt,465,13950.00,
,,Rahil,,,,,,13800.00 Cr
,,Party With Friends,,,,,,150.00 Cr
12-Mar-21,By,Food,,,Payment,773,,400.00
12-Mar-21,By,Home Cash Paid,,,Payment,774,,500.00
13-Mar-21,By,Home Perquisites,,,Payment,777,,940.00
13-Mar-21,By,Home Perquisites,,,Payment,778,,270.00
15-Mar-21,By,Vishal Sabhadiya,,,Payment,781,,20000.00
16-Mar-21,To,Upad,,,Receipt,471,10000.00,
17-Mar-21,By,Ankit Sorathiya,,,Payment,786,,2500.00
17-Mar-21,To,Brahmani Fashion,,,Receipt,473,2218.00,
17-Mar-21,By,Nitesh Italiya,,,Payment,787,,7000.00
17-Mar-21,By,Mandal Date CA Group 15,,,Payment,788,,2000.00
17-Mar-21,By,Home Cash Paid,,,Payment,789,,1000.00
17-Mar-21,To,Loans From Friends,,,Receipt,474,10000.00,
17-Mar-21,By,Cash Reserve I,,,Payment,790,,15000.00
22-Mar-21,To,Shaileshbhai Paladiya,,,Receipt,482,384.00,
22-Mar-21,To,Office Income,,,Receipt,483,1000.00,
22-Mar-21,To,Office Income,,,Receipt,484,4400.00,
22-Mar-21,To,Upad,,,Receipt,485,2600.00,
22-Mar-21,To,Office Income,,,Receipt,486,8600.00,
22-Mar-21,By,Cash Reserve I,,,Payment,796,,30000.00
22-Mar-21,By,Home Cash Paid,,,Payment,797,,500.00
22-Mar-21,By,Party With Friends,,,Payment,798,,320.00
22-Mar-21,By,Holiday Expenses,,,Payment,799,,500.00
22-Mar-21,By,Misc. Expenses,,,Payment,800,,1000.00
23-Mar-21,To,Office Income,,,Receipt,491,1000.00,
23-Mar-21,By,Home Cash Paid,,,Payment,801,,500.00
23-Mar-21,By,Misc. Expenses,,,Payment,802,,50.00
23-Mar-21,To,Rahil,,,Receipt,492,2149.00,
23-Mar-21,By,Home Cash Paid,,,Payment,803,,1000.00
23-Mar-21,By,Holiday Expenses,,,Payment,804,,269.00
23-Mar-21,By,Party With Friends,,,Payment,805,,350.00
23-Mar-21,To,Upad,,,Receipt,493,300.00,
25-Mar-21,To,Office Income,,,Receipt,496,1500.00,
26-Mar-21,To,Piyush Mkawana,,,Receipt,498,1000.00,
26-Mar-21,By,Piyush Vaghasiya,,,Payment,809,,3000.00
26-Mar-21,To,Deep Shweta,,,Receipt,500,1000.00,
27-Mar-21,To,Upad,,,Receipt,506,1000.00,
27-Mar-21,By,Home Cash Paid,,,Payment,812,,1000.00
27-Mar-21,By,Misc. Expenses,,,Payment,813,,140.00
27-Mar-21,By,Misc. Expenses,,,Payment,814,,251.00
29-Mar-21,By,Party With Friends,,,Payment,815,,430.00
29-Mar-21,By,Chirag,,,Payment,817,,2000.00
29-Mar-21,To,Aasish Kathiriya,,,Receipt,507,51.00,
31-Mar-21,By,Food,,,Payment,819,,60.00
31-Mar-21,By,Home Medicines,,,Payment,820,,100.00
31-Mar-21,By,Misc. Expenses,,,Payment,821,,90.00
02-Apr-21,By,Home Cash Paid,,,Payment,5,,2000.00
02-Apr-21,To,Upad,,,Receipt,3,4400.00,
04-Apr-21,To,Deep Shweta,,,Receipt,6,1400.00,
04-Apr-21,To,Upad,,,Receipt,7,1600.00,
04-Apr-21,To,Upad,,,Receipt,8,3000.00,
04-Apr-21,To,Piyush Vaghasiya,,,Receipt,9,1154.00,
07-Apr-21,By,DBS Bank,,,Contra,1,,10500.00
07-Apr-21,To,Ankit Sorathiya,,,Receipt,11,10000.00,
07-Apr-21,By,Food,,,Payment,13,,140.00
07-Apr-21,By,Cash Reserve I,,,Payment,14,,10000.00
07-Apr-21,By,Deep Shweta,,,Payment,15,,110.00
07-Apr-21,To,Brahmani Fashion,,,Receipt,14,2148.00,
08-Apr-21,By,Food,,,Payment,16,,159.00
08-Apr-21,By,Food,,,Payment,17,,60.00
09-Apr-21,By,Home Cash Paid,,,Payment,18,,500.00
10-Apr-21,By,Food,,,Payment,20,,60.00
10-Apr-21,To,Darshan Ghanshaymbhai Makwana,,,Receipt,17,1500.00,
11-Apr-21,By,Bhavesh Sabhadiya,,,Payment,22,,20000.00
12-Apr-21,By,Darshan Ghanshaymbhai Makwana,,,Payment,25,,1000.00
13-Apr-21,By,Chirag,,,Payment,26,,3770.00
13-Apr-21,By,Food,,,Payment,27,,50.00
13-Apr-21,By,Food,,,Payment,28,,100.00
14-Apr-21,By,Bhavesh Sabhadiya,,,Payment,30,,800.00
14-Apr-21,To,Upad,,,Receipt,24,5000.00,
14-Apr-21,To,Upad,,,Receipt,25,20000.00,
14-Apr-21,By,Misc. Expenses,,,Payment,31,,13.00
15-Apr-21,By,(as per details),,,Payment,32,,2750.00
,,Home Cash Paid,,,,,2250.00 Dr,
,,Home Cash Paid,,,,,500.00 Dr,
15-Apr-21,By,Food,,,Payment,33,,30.00
18-Apr-21,By,Food,,,Payment,41,,60.00
19-Apr-21,By,Bike Service,,,Payment,43,,330.00
20-Apr-21,By,Party With Friends,,,Payment,44,,60.00
20-Apr-21,To,Cash Reserve I,,,Receipt,35,5400.00,
20-Apr-21,By,Computer Table,,,Payment,46,,2900.00
20-Apr-21,By,Revolving Chair,,,Payment,47,,2200.00
20-Apr-21,By,Computer Table,,,Payment,48,,450.00
20-Apr-21,To,Upad,,,Receipt,36,560.00,
20-Apr-21,By,Hair Cut,,,Payment,49,,150.00
20-Apr-21,By,Computer Parts,,,Payment,50,,250.00
20-Apr-21,To,Bhaveshbhai 45,,,Receipt,37,555.00,
20-Apr-21,To,Cash Reserve I,,,Receipt,38,1100.00,
21-Apr-21,By,Home Cash Paid,,,Payment,51,,2000.00
21-Apr-21,To,Piyush Vaghasiya,,,Receipt,41,900.00,
21-Apr-21,By,Food,,,Payment,53,,75.00
22-Apr-21,By,Home Cash Paid,,,Payment,54,,500.00
22-Apr-21,By,Petrol Expenses,,,Payment,55,,200.00
22-Apr-21,By,Home Perquisites,,,Payment,56,,200.00
23-Apr-21,By,Party With Friends,,,Payment,57,,60.00
23-Apr-21,To,Upad,,,Receipt,47,2500.00,
25-Apr-21,By,Party With Friends,,,Payment,59,,160.00
26-Apr-21,By,Home Cash Paid,,,Payment,60,,850.00
27-Apr-21,By,Misc. Expenses,,,Payment,61,,100.00
27-Apr-21,By,Party With Friends,,,Payment,62,,60.00
27-Apr-21,By,Home Medicines,,,Payment,63,,60.00
28-Apr-21,By,Home Cash Paid,,,Payment,64,,200.00
30-Apr-21,By,Party With Friends,,,Payment,66,,200.00
02-May-21,By,Home Perquisites,,,Payment,70,,40.00
02-May-21,By,Home Perquisites,,,Payment,71,,35.00
02-May-21,By,Home Perquisites,,,Payment,72,,1100.00
02-May-21,By,Food,,,Payment,73,,160.00
02-May-21,To,Cash Reserve I,,,Receipt,50,100.00,
02-May-21,By,Misc. Expenses,,,Payment,74,,125.00
03-May-21,To,Cash Reserve I,,,Receipt,51,3400.00,
03-May-21,By,Home Cash Paid,,,Payment,77,,600.00
03-May-21,By,Office Stationery Exp.,,,Payment,78,,2020.00
03-May-21,By,Party With Friends,,,Payment,79,,80.00
03-May-21,By,Shophere Retail Other,,,Payment,80,,65.00
03-May-21,By,Food,,,Payment,81,,70.00
04-May-21,By,Medical Expenses,,,Payment,82,,600.00
04-May-21,By,Food,,,Payment,83,,55.00
05-May-21,By,Epson M2170 Wifi Printer,,,Payment,84,,500.00
05-May-21,To,Cash Reserve I,,,Receipt,54,3200.00,
06-May-21,By,Food,,,Payment,87,,70.00
06-May-21,By,Home Cash Paid,,,Payment,88,,150.00
07-May-21,By,Home Cash Paid,,,Payment,90,,1000.00
09-May-21,By,"Tea, Coffe & Cold Drinks Exp",,,Payment,92,,140.00
09-May-21,To,Himalay,,,Receipt,59,50000.00,
09-May-21,By,Cash Reserve II,,,Payment,93,,50000.00
09-May-21,By,Home Perquisites,,,Payment,94,,70.00
09-May-21,By,Home Perquisites,,,Payment,95,,160.00
10-May-21,To,Cash Reserve I,,,Receipt,60,2000.00,
11-May-21,By,Home Cash Paid,,,Payment,97,,500.00
12-May-21,By,Misc. Expenses,,,Payment,98,,355.00
13-May-21,By,Home Medicines,,,Payment,99,,800.00
14-May-21,By,Home Medicines,,,Payment,101,,550.00
15-May-21,By,Home Cash Paid,,,Payment,102,,500.00
15-May-21,By,Party With Friends,,,Payment,103,,575.00
15-May-21,To,Cash Reserve I,,,Receipt,65,5000.00,
16-May-21,By,Food,,,Payment,104,,140.00
16-May-21,By,Merriage Chandlo Shrimant,,,Payment,106,,200.00
17-May-21,By,Mandal Date CA Group 15,,,Payment,107,,2000.00
17-May-21,By,Home Cash Paid,,,Payment,109,,600.00
18-May-21,By,(as per details),,,Payment,110,,2600.00
,,Divyam Medicine,,,,,2500.00 Dr,
,,Divyam Medicine,,,,,100.00 Dr,
19-May-21,By,Home Cash Paid,,,Payment,113,,200.00
20-May-21,To,Cash Reserve I,,,Receipt,67,5800.00,
21-May-21,By,Divyam School Exp.,,,Payment,116,,2100.00
21-May-21,By,Home Cash Paid,,,Payment,117,,400.00
21-May-21,By,Specatecals,,,Payment,118,,400.00
21-May-21,By,Home Perquisites,,,Payment,119,,185.00
21-May-21,To,Work,,,Receipt,68,700.00,
21-May-21,To,Rahil,,,Receipt,69,1700.00,
22-May-21,By,Consultancy Exp.,,,Payment,124,,215.00
22-May-21,By,(as per details),,,Payment,125,,2555.00
,,Divyam Medicine,,,,,2500.00 Dr,
,,Divyam Medicine,,,,,55.00 Dr,
27-May-21,To,(as per details),,,Receipt,72,6750.00,
,,Ghanshyambhai P,,,,,,6220.00 Cr
,,Work,,,,,,530.00 Cr
27-May-21,By,(as per details),,,Payment,128,,5050.00
,,Divyam Medicine,,,,,5000.00 Dr,
,,Divyam Medicine,,,,,50.00 Dr,
01-Jun-21,By,Divyam Medicine,,,Payment,134,,2500.00
04-Jun-21,By,Rohit Akbari,,,Payment,137,,210.00
04-Jun-21,To,Cash Reserve I,,,Receipt,85,1500.00,
05-Jun-21,By,Party With Friends,,,Payment,138,,500.00
08-Jun-21,To,DBS Bank,,,Contra,2,12000.00,
08-Jun-21,By,Piyush Vaghasiya,,,Payment,143,,12000.00
08-Jun-21,By,Party With Friends,,,Payment,144,,250.00
08-Jun-21,By,Party With Friends,,,Payment,145,,140.00
09-Jun-21,To,Nitesh Italiya,,,Receipt,88,500.00,
09-Jun-21,By,Party With Friends,,,Payment,147,,135.00
09-Jun-21,By,Home Cash Paid,,,Payment,148,,500.00
10-Jun-21,By,Home Perquisites,,,Payment,151,,150.00
10-Jun-21,By,Food,,,Payment,152,,100.00
11-Jun-21,By,Food,,,Payment,153,,45.00
11-Jun-21,By,(as per details),,,Payment,154,,265.00
,,Chirag,,,,,135.00 Dr,
,,Piyush Vaghasiya,,,,,130.00 Dr,
12-Jun-21,By,Food,,,Payment,160,,100.00
14-Jun-21,By,Home Medicines,,,Payment,162,,460.00
14-Jun-21,By,Food,,,Payment,163,,100.00
15-Jun-21,To,Cash Reserve I,,,Receipt,101,14500.00,
17-Jun-21,By,Home Cash Paid,,,Payment,169,,500.00
17-Jun-21,By,Home Rent,,,Payment,170,,10000.00
18-Jun-21,By,Home Medicines,,,Payment,171,,260.00
22-Jun-21,By,Food,,,Payment,179,,30.00
22-Jun-21,By,Holiday Expenses,,,Payment,180,,320.00
23-Jun-21,To,Piyush Vaghasiya,,,Receipt,108,1200.00,
23-Jun-21,To,Velocity,,,Receipt,109,888.00,
23-Jun-21,To,Cash Reserve II,,,Receipt,110,700.00,
25-Jun-21,By,Home Cash Paid,,,Payment,186,,500.00
25-Jun-21,By,Home Cash Paid,,,Payment,187,,2000.00
25-Jun-21,To,Cash Reserve II,,,Receipt,111,5500.00,
26-Jun-21,By,Home Cash Paid,,,Payment,188,,500.00
27-Jun-21,By,Chirag,,,Payment,189,,600.00
28-Jun-21,By,Home Cash Paid,,,Payment,194,,300.00
30-Jun-21,By,Printer Glass,,,Payment,202,,500.00
30-Jun-21,By,Home Medicines,,,Payment,203,,270.00
01-Jul-21,By,Home Cash Paid,,,Payment,205,,500.00
01-Jul-21,By,Misc. Expenses,,,Payment,206,,30.00
02-Jul-21,By,Home Cash Paid,,,Payment,208,,100.00
02-Jul-21,By,Food,,,Payment,209,,80.00
02-Jul-21,By,Misc. Expenses,,,Payment,210,,90.00
03-Jul-21,By,Food,,,Payment,211,,30.00
03-Jul-21,By,Food,,,Payment,214,,200.00
05-Jul-21,By,Party With Friends,,,Payment,218,,120.00
06-Jul-21,By,Food,,,Payment,220,,30.00
06-Jul-21,To,Chirag,,,Receipt,127,7500.00,
06-Jul-21,To,Nikhil Sabhadiya,,,Receipt,128,5500.00,
06-Jul-21,To,Chirag,,,Receipt,129,5600.00,
06-Jul-21,By,Cash Reserve II,,,Payment,222,,9500.00
10-Jul-21,By,Chirag,,,Payment,226,,5000.00
10-Jul-21,By,Home Cash Paid,,,Payment,228,,850.00
12-Jul-21,To,Velocity,,,Receipt,130,887.00,
13-Jul-21,By,Home Cash Paid,,,Payment,232,,2000.00
14-Jul-21,By,Home Perquisites,,,Payment,236,,900.00
15-Jul-21,By,Home Cash Paid,,,Payment,237,,500.00
17-Jul-21,By,Home Medicines,,,Payment,240,,250.00
18-Jul-21,By,Home Perquisites,,,Payment,244,,250.00
18-Jul-21,By,Mandal Date CA Group 15,,,Payment,245,,2000.00
18-Jul-21,By,Home Perquisites,,,Payment,246,,267.00
18-Jul-21,By,Food,,,Payment,247,,120.00
18-Jul-21,By,(as per details),,,Payment,248,,870.00
,,Home Perquisites,,,,,430.00 Dr,
,,Home Perquisites,,,,,360.00 Dr,
,,Home Perquisites,,,,,80.00 Dr,
19-Jul-21,To,Sunil C Thummar,,,Receipt,137,800.00,
19-Jul-21,By,Misc. Expenses,,,Payment,251,,95.00
20-Jul-21,By,Food,,,Payment,254,,120.00
20-Jul-21,By,Karnbhumi Co. Op. Bank,,,Payment,255,,1250.00
21-Jul-21,To,Dhyani Creation,,,Receipt,141,2400.00,
21-Jul-21,By,Piyush Vaghasiya,,,Payment,257,,300.00
22-Jul-21,To,Piyush Vaghasiya,,,Receipt,143,555.00,
22-Jul-21,By,Party With Friends,,,Payment,259,,180.00
22-Jul-21,By,Home Medicines,,,Payment,260,,250.00
22-Jul-21,By,Food,,,Payment,261,,130.00
22-Jul-21,By,Home Cash Paid,,,Payment,262,,100.00
23-Jul-21,By,Petrol Expenses,,,Payment,264,,100.00
24-Jul-21,To,Shaileshbhai Korat,,,Receipt,145,3700.00,
24-Jul-21,By,Food,,,Payment,265,,60.00
24-Jul-21,To,G S Enterprise (Ghanshyambhai),,,Receipt,146,2400.00,
25-Jul-21,To,ESSENTIAL CHEMISTRY,,,Receipt,147,1500.00,
26-Jul-21,By,Home Cash Paid,,,Payment,269,,700.00
26-Jul-21,By,Food,,,Payment,271,,120.00
26-Jul-21,By,Misc. Expenses,,,Payment,272,,50.00
27-Jul-21,By,Food,,,Payment,273,,90.00
29-Jul-21,By,Party With Friends,,,Payment,274,,320.00
30-Jul-21,To,Work,,,Receipt,152,15000.00,
31-Jul-21,By,Ankit Sorathiya,,,Payment,277,,7500.00
01-Aug-21,By,Cash Reserve II,,,Payment,278,,10000.00
01-Aug-21,To,Cash Reserve II,,,Receipt,154,20000.00,
03-Aug-21,By,Four Wheel Exp.,,,Payment,282,,200.00
03-Aug-21,By,Four Wheel Exp.,,,Payment,283,,1000.00
03-Aug-21,By,Party With Friends,,,Payment,284,,900.00
04-Aug-21,By,Food,,,Payment,285,,120.00
05-Aug-21,By,Food,,,Payment,290,,180.00
06-Aug-21,By,IDBI Bank,,,Contra,3,,20800.00
06-Aug-21,To,Ankit Sorathiya,,,Receipt,156,1000.00,
06-Aug-21,By,Food,,,Payment,293,,60.00
06-Aug-21,By,Home Perquisites,,,Payment,294,,490.00
09-Aug-21,By,Home Cash Paid,,,Payment,296,,2000.00
10-Aug-21,To,Chanchad,,,Receipt,160,6200.00,
10-Aug-21,By,Party With Friends,,,Payment,298,,100.00
11-Aug-21,By,DBS Bank,,,Payment,301,,9000.00
11-Aug-21,To,Shree Hanuman Tex,,,Receipt,162,3000.00,
11-Aug-21,By,(as per details),,,Payment,302,,1000.00
,,Chirag,,,,,813.00 Dr,
,,Party With Friends,,,,,187.00 Dr,
11-Aug-21,By,Misc. Expenses,,,Journal,97,,40.00
